unit_id,language,framework,repository_url,commit_sha,license,relative_path,start_line,end_line,symbol,cc_lizard_1_23_0,isolation_status,source_sha256,reviewer_1,reviewer_2,notes
PY_002_binary_search,python,pytest,https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git,7442df79460f6e0e2be137fb3f06145d0013c407,Course project internal use - no repository license file yet,experiment/input_code/python_dataset/python_functions.py,23,36,binary_search,5,include,c04a16c23954a2eb36ff9e54a443ad28688861ddae668912648c2827fd77eb26,Vinh,Nghi,standalone function
PY_003_is_valid_email,python,pytest,https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git,7442df79460f6e0e2be137fb3f06145d0013c407,Course project internal use - no repository license file yet,experiment/input_code/python_dataset/python_functions.py,40,54,is_valid_email,13,include,878c3f9c1963932b1726e6a4b661dd2c14ef804c36db78bcc7c1ba4685e9f175,Vinh,Nghi,standalone function
PY_012_check_sudoku_board,python,pytest,https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git,7442df79460f6e0e2be137fb3f06145d0013c407,Course project internal use - no repository license file yet,experiment/input_code/python_dataset/python_functions.py,234,254,check_sudoku_board,14,include,c49155859a25efe71d4f11faa1846325e6b79ca21dd63501a4912ef2bcd1265b,Vinh,Nghi,standalone function
PY_015_longest_palindrome_substring,python,pytest,https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git,7442df79460f6e0e2be137fb3f06145d0013c407,Course project internal use - no repository license file yet,experiment/input_code/python_dataset/python_functions.py,292,310,longest_palindrome_substring,11,include,7248aa45b08692244821f296fc19c8c2fb431e09e46662bb035fedf92344127f,Vinh,Nghi,standalone function
PY_017_levenshtein_distance,python,pytest,https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git,7442df79460f6e0e2be137fb3f06145d0013c407,Course project internal use - no repository license file yet,experiment/input_code/python_dataset/python_functions.py,340,355,levenshtein_distance,9,include,7a976d4c49bb78f5c834df893f5dc2b3ec806687ac2d60a3a4cbaa8ab319c5e1,Vinh,Nghi,standalone function
JAVA_002_binarySearch,java,junit5,https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git,7442df79460f6e0e2be137fb3f06145d0013c407,Course project internal use - no repository license file yet,experiment/input_code/java_dataset/JavaAlgorithms.java,34,51,binarySearch,6,include,ecbfe609739ed007dfbec02f533c991670fcaa8631627c037d6d84f3daa76460,Vinh,Nghi,static method
JAVA_003_isValidEmail,java,junit5,https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git,7442df79460f6e0e2be137fb3f06145d0013c407,Course project internal use - no repository license file yet,experiment/input_code/java_dataset/JavaAlgorithms.java,54,77,isValidEmail,15,include,d3a0d8997af51d15b5bcff34d3a38239d4e366d2f1dfcf6e2d27fd0efcd495b1,Vinh,Nghi,static method
JAVA_012_checkSudokuBoard,java,junit5,https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git,7442df79460f6e0e2be137fb3f06145d0013c407,Course project internal use - no repository license file yet,experiment/input_code/java_dataset/JavaAlgorithms.java,309,334,checkSudokuBoard,13,include,0b73e8b2911ab8c3d6c8ce5a33affb4ef5ddd7ab6dff64b22eb06bcaeb3195ff,Vinh,Nghi,static method
JAVA_015_longestPalindromeSubstring,java,junit5,https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git,7442df79460f6e0e2be137fb3f06145d0013c407,Course project internal use - no repository license file yet,experiment/input_code/java_dataset/JavaAlgorithms.java,387,412,longestPalindromeSubstring,12,include,5dc26648207a2cf5c5da102e398ab3122fbf2d29511127e2dc4403b1befe3599,Vinh,Nghi,static method
JAVA_017_levenshteinDistance,java,junit5,https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git,7442df79460f6e0e2be137fb3f06145d0013c407,Course project internal use - no repository license file yet,experiment/input_code/java_dataset/JavaAlgorithms.java,445,468,levenshteinDistance,8,include,385d430c6a3499a5b58ccc3997e33c938158455a6912252c595370bda80d2e8e,Vinh,Nghi,static method
